Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
261;Luke Kornet;C;28;BOS;33;2;15.1;2.2;3.3;0.685;0;0;0;2.2;3.3;0.685;0.685;0.8;0.9;0.897;1.8;2;3.9;0.9;0.4;1;0.5;1.4;5.3
262;Jonathan Kuminga;PF;21;GSW;45;19;24.8;5.7;10.6;0.538;0.8;2.6;0.33;4.9;8.1;0.603;0.577;2.8;4;0.719;1.2;3.3;4.6;1.7;0.7;0.4;1.6;2.3;15.1
263;Kyle Kuzma;PF;28;WAS;48;48;31.5;8.5;18.8;0.455;2.2;6.7;0.329;6.3;12.1;0.524;0.513;2.5;3.1;0.801;1;5.5;6.5;4.3;0.4;0.6;2.6;2.1;21.8
264;Jock Landale;C;28;HOU;27;0;9.2;0.9;2.3;0.387;0.1;0.6;0.118;0.8;1.7;0.489;0.403;0.4;0.6;0.733;1.3;0.8;2.1;0.6;0.3;0.4;0.4;1;2.3
265;Jake LaRavia;PF;22;MEM;11;0;11.1;1.5;3.9;0.372;0.5;2.2;0.208;1;1.7;0.579;0.43;0.3;0.4;0.75;0.6;0.8;1.5;0.5;0.1;0.1;0.4;1.7;3.6
266;Zach LaVine;SG;28;CHI;25;23;34.9;6.8;15;0.452;2.4;6.8;0.349;4.4;8.3;0.536;0.531;3.5;4.1;0.854;0.3;4.8;5.2;3.9;0.8;0.3;2.1;2.3;19.5
267;A.J. Lawson;SG;23;DAL;22;0;9.7;1.5;3.5;0.447;0.5;1.7;0.316;1;1.7;0.579;0.526;0.5;0.8;0.706;0.5;0.8;1.3;0.6;0.4;0.1;0.5;0.8;4.2
268;Saben Lee;PG;24;PHO;11;0;6.8;0.8;1.9;0.429;0;0.5;0;0.8;1.5;0.563;0.429;1.2;1.5;0.765;0.5;0.6;1.1;1.1;0.3;0.3;0.5;0.5;2.8
269;Alex Len;C;30;SAC;17;0;8.8;1.1;1.7;0.621;0;0.1;0;1.1;1.6;0.667;0.621;0.2;0.6;0.4;1.4;1.9;3.3;1.1;0.2;0.5;0.6;1.1;2.4
270;Kawhi Leonard;SF;32;LAC;43;43;34.3;9.1;17.2;0.53;2.3;5.1;0.45;6.8;12.1;0.565;0.597;3.6;4.1;0.886;1.1;5.1;6.3;3.7;1.7;0.9;1.5;1.5;24.1
